id,level,job_band_id,job_family_id,question_id
competency174,A,4,insurance,Question6
competency1,x,1,riskmanagement,Question1
competency2,F,1,riskmanagement,Question2
competency3,F,1,riskmanagement,Question3
competency4,F,1,riskmanagement,Question4
competency5,F,1,riskmanagement,Question5
competency6,F,1,riskmanagement,Question6
competency7,F,1,riskmanagement,Question7
competency8,F,1,riskmanagement,Question8
competency9,F,1,riskmanagement,Question9
competency10,F,1,riskmanagement,Question10
competency11,F,1,riskmanagement,Question11
competency12,F,1,riskmanagement,Question12
competency13,F,1,riskmanagement,Question13
competency14,F,1,riskmanagement,Question14
competency15,F,1,riskmanagement,Question15
competency16,F,1,riskmanagement,Question16
competency17,F,1,riskmanagement,Question17
competency18,F,1,riskmanagement,Question18
competency19,F,1,riskmanagement,Question19
competency20,F,1,riskmanagement,Question20
competency21,F,1,riskmanagement,Question21
competency22,F,1,riskmanagement,Question22
competency23,F,1,riskmanagement,Question23
competency24,F,1,riskmanagement,Question24
competency25,x,2,riskmanagement,Question1
competency26,F,2,riskmanagement,Question2
competency27,F,2,riskmanagement,Question3
competency28,F,2,riskmanagement,Question4
competency29,I,2,riskmanagement,Question5
competency30,I,2,riskmanagement,Question6
competency31,I,2,riskmanagement,Question7
competency32,I,2,riskmanagement,Question8
competency33,F,2,riskmanagement,Question9
competency34,I,2,riskmanagement,Question10
competency35,I,2,riskmanagement,Question11
competency36,I,2,riskmanagement,Question12
competency37,F,2,riskmanagement,Question13
competency38,F,2,riskmanagement,Question14
competency39,I,2,riskmanagement,Question15
competency40,I,2,riskmanagement,Question16
competency41,I,2,riskmanagement,Question17
competency42,I,2,riskmanagement,Question18
competency43,I,2,riskmanagement,Question19
competency44,I,2,riskmanagement,Question20
competency45,I,2,riskmanagement,Question21
competency46,I,2,riskmanagement,Question22
competency47,I,2,riskmanagement,Question23
competency48,F,2,riskmanagement,Question24
competency49,x,3,riskmanagement,Question1
competency50,F,3,riskmanagement,Question2
competency51,F,3,riskmanagement,Question3
competency52,F,3,riskmanagement,Question4
competency53,I,3,riskmanagement,Question5
competency54,A,3,riskmanagement,Question6
competency55,A,3,riskmanagement,Question7
competency56,I,3,riskmanagement,Question8
competency57,F,3,riskmanagement,Question9
competency58,I,3,riskmanagement,Question10
competency175,E,4,insurance,Question7
competency59,A,3,riskmanagement,Question11
competency60,I,3,riskmanagement,Question12
competency61,F,3,riskmanagement,Question13
competency62,F,3,riskmanagement,Question14
competency63,A,3,riskmanagement,Question15
competency64,A,3,riskmanagement,Question16
competency65,A,3,riskmanagement,Question17
competency66,A,3,riskmanagement,Question18
competency67,A,3,riskmanagement,Question19
competency68,A,3,riskmanagement,Question20
competency69,I,3,riskmanagement,Question21
competency70,A,3,riskmanagement,Question22
competency71,A,3,riskmanagement,Question23
competency72,F,3,riskmanagement,Question24
competency73,x,4,riskmanagement,Question1
competency74,F,4,riskmanagement,Question2
competency75,F,4,riskmanagement,Question3
competency76,F,4,riskmanagement,Question4
competency77,I,4,riskmanagement,Question5
competency78,A,4,riskmanagement,Question6
competency79,A,4,riskmanagement,Question7
competency80,I,4,riskmanagement,Question8
competency81,F,4,riskmanagement,Question9
competency82,I,4,riskmanagement,Question10
competency83,E,4,riskmanagement,Question11
competency84,I,4,riskmanagement,Question12
competency85,F,4,riskmanagement,Question13
competency86,F,4,riskmanagement,Question14
competency87,A,4,riskmanagement,Question15
competency88,E,4,riskmanagement,Question16
competency89,E,4,riskmanagement,Question17
competency90,A,4,riskmanagement,Question18
competency91,E,4,riskmanagement,Question19
competency92,E,4,riskmanagement,Question20
competency93,I,4,riskmanagement,Question21
competency94,A,4,riskmanagement,Question22
competency95,A,4,riskmanagement,Question23
competency96,F,4,riskmanagement,Question24
competency97,F,1,insurance,Question1
competency98,F,1,insurance,Question2
