id,description,criteria,category,capability
Question1,I have the knowledge and skills required to fulfil our statutory and regulatory obligations according to relevant Group Finance policies and professional accounting standards (domestic and/or international)?,I can demonstrate a good understanding of Group Finance policies and accounting standards and implement as required \n I can identify unusual or complex transactions and review and approve the appropriate treatment.,Technically & Digitally Enabled,Finance policies and standards
Question10,"I have the skills to implement policies, evaluate and manage risks associated with the organisation’s investment, funding activities, cash flow management and the optimal financing of working capital. "," I can make the right cash management decisions based on the principles of cash management and can explain these to other functions.  \n I can apply corporate treasury policies relating to my areas of the business.  \n I can design negotiate, implement and execute cash management solutions.",Technically & Digitally Enabled,Treasury management
Question11,"I have the skills to implement an integrated risk management framework and strategies, to minimise potential threats to the business, and maximise opportunities.","I understand the 3 lines of defence and can identify emerging risks in the daily operation of the business.  \n I can advise the business on transactions; e.g. risk financing, business continuity, security or sustainability (as applicable to my role) anticipating the impact of changes in regulations, policies and procedures.  \n I can provide compliance and oversight in the form of frameworks, policies, tools, and techniques to support risk and compliance management.  \n I can partner with the Risk department to ensure alignment of our Risk management approach.",Technically & Digitally Enabled,Risk management
Question12,"I have the knowledge needed to implement a safeguarding framework and to provide independent advice on the effectiveness of controls, to ensure the long-term success of the company.",I can act as a custodian of business governance and control frameworks.  \n I can review and improve the system of financial and operational controls to monitor compliance and risks.  \n I can identify fraudulent activities and the knowledge to design effective anti-fraud controls.  \n I understand the relevant corporate governance code and can review the company’s compliance.,Technically & Digitally Enabled,Safeguarding financial integrity
Question13,"I have the knowledge and understanding of the finance systems environment; information, data flows and relationships between systems including those outside Finance to be able to define, structure, adapt, and integrate new and existing technology and digital solutions.","I can monitor the financial systems and proactively drive improvements across systems and applications.  \n I can define and structure the finance systems and applications in compliance with policies and guidelines.  \n I can lead the implementation of technology upgrades/enhancements.  \n I can identify opportunities for automation and can recommend new systems and tooling to improve processes.  \n I can promote the use of technology to support cost reduction, our vision and objectives.",Technically & Digitally Enabled,Finance information systems
Question14,I have the relevant knowledge of both direct and indirect taxes to ensure the organisation conducts business based on relevant rules and law and the skill to apply this when submitting tax returns and advising on the tax implications of financial plans.,"I can review tax returns to ensure accuracy, completeness and compliance with applicable tax codes and propose solutions to business tax matters.  \n I can recommend and negotiate settlements of major tax audits or disputes.  \n I can set internal tax accounting standards and resolve unusual and complex tax accounting issues.  \n I can discuss routine tax matters and translate tax law to drive the required action.  \n I can manage corporate tax matters and can advise on solutions for complex tax projects.",Technically & Digitally Enabled,"Tax strategy, planning & compliance"
Question15,I have the skills to effectively communicate and manage the risk and performance of suppliers to maximise the long-term value of their services to our function and the organisation.,"I can monitor performance, negotiate and maintain service level agreements.  \n I can manage supplier risk and take mitigating actions.  \n I can build relationships with suppliers so that requirements are understood and operational issues can be resolved quickly and effectively.  \n I can conduct supplier audits and ensure that all contractual obligations are fulfilled.  \n I can collaborate with suppliers to resolve complex issues and identify potential improvements.",Technically & Digitally Enabled,Finance supplier performance management
Question16,"I have the knowledge and confidence to take a ‘big picture’ view of a situation to make logical, sound decisions and influence others to have a positive impact towards achieving the organisational objectives.",I understand how the Finance strategy aligns to the organisational vision.  \n I can collaborate outside of Finance to share best practice and drive new ways of working.  \n I can lead projects that have broad implications across the organisation and to influence stakeholders.  \n I can deal with ambiguity and tensions arising during times of change.  \n I can transfer the strategy into KPIs and action plans.,Business Focused,Business acumen
Question17,"I have the skills to create new ideas that help develop, and land, our strategy based on my ability to interpret and connect financial and non-financial data, people and questions drawn from internal and external factors.","I can facilitate, question and challenge the business to generate ideas and engage in debate.  \n I can apply my understanding of macroeconomic analysis to make recommendations.  \n I can make business stakeholders confident users of business intelligence tools.  \n I can evaluate and interpret the influence of the external environment on the organisation.",Business Focused,Strategic insight
Question18,"I have the required knowledge of the market and industry in which our business operates, to identify risks and opportunities while ensuring compliance with regulatory obligations.","I understand our products, services and the wider market.  \n I understand the organisation’s commercial business and market trends and use to tailor offerings to meet current and future needs  \n I can analyse the impact of external factors to influence business strategy.  \n I understand regulatory standards for investment funding decisions.  \n I can assess customer and competitor strengths to influence business decisions.",Business Focused,Market trends & regulatory environment
