id,question_id,job_band_id,training_name,training_link
Training1,Question1,1,,
Training2,Question2,1,Accounting Foundations: Bookkeeping,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-bookkeeping-2?trk=share_ent_url&shareId=Rgv5ZHNCQ9iX5e5SCgr0pQ==
Training3,Question3,1,Financial Accounting Part 1,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/financial-accounting-part-1?trk=share_ent_url&shareId=L3z7fhz8SKSndgo17cuOcQ==
Training4,Question3,1,Forecasting Using Financial Statements,https://brambles.myabsorb.com/#/online-courses/26c9510d-13c9-4f8e-9c00-21a7b50915c5
Training5,Question4,1,Accounting Foundations: Managerial Accounting ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-managerial-accounting?trk=share_ent_url&shareId=Wwh3Kq%2BYRy%2BXkqo9BQ%2FXKw==
Training6,Question5,1,Accounting Foundations: Budgeting,
Training7,Question5,1,Financial Modelling and Forecasting Financial Statements,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/financial-modeling-and-forecasting-financial-statements?trk=share_ent_url&shareId=pBZURdhTTeaQl4Vvm%2BIpJw==
Training8,Question5,1,Accounting Foundations: Managerial Accounting,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-managerial-accounting?trk=share_ent_url&shareId=Wwh3Kq%2BYRy%2BXkqo9BQ%2FXKw==
Training9,Question6,1,Accounting Foundations: Making Business Decisions Using IRR and NPV ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-cost-based-pricing-strategies?trk=share_ent_url&shareId=9nW0mFISQ3awDSxNPfTBbw==
Training10,Question6,1,Corporate Finance Foundations ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/corporate-finance-foundations?trk=share_ent_url&shareId=l6fkWYsxSlajIggULgsHbw==
Training11,Question9,1,Writing a Business Report,
Training12,Question9,1,Accounting Foundations: Managerial Accounting,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-managerial-accounting?trk=share_ent_url&shareId=Wwh3Kq%2BYRy%2BXkqo9BQ%2FXKw==
Training13,Question7,1,Accounting Foundations: Managerial Accounting,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-managerial-accounting?trk=share_ent_url&shareId=Wwh3Kq%2BYRy%2BXkqo9BQ%2FXKw==
Training14,Question8,1,,
Training15,Question10,1,Accounting Foundations: Statement of Cash Flows,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-statement-of-cash-flows?trk=share_ent_url&shareId=B4vt%2FzM6SBOFgKffxNTFOw==
Training16,Question11,1,Finance Foundations: Risk Management,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/finance-foundations-business-valuation?trk=share_ent_url&shareId=4GvMKybsRJ614Cu46kEelg==
Training17,Question12,1,,
Training18,Question13,1,,
Training19,Question14,1,Business Tax Foundations,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/finance-foundations-business-valuation?trk=share_ent_url&shareId=4GvMKybsRJ614Cu46kEelg==
Training20,Question15,1,,
Training21,Question16,1,Communication Foundations,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/communication-foundations-2?trk=share_ent_url&shareId=o8Xx4e97Rs2EHC5wWeM2ZA==
Training22,Question16,1,Developing Business Acumen,
Training23,Question17,1,,
Training24,Question18,1,,
Training25,Question19,1,,
Training26,Question20,1,Customer Service Foundations,
Training27,Question20,1,Developing a Service Mindset,
Training28,Question20,1,Customer Service: Problem Solving and Troubleshooting,
Training29,Question20,1,Communication Foundations,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/communication-foundations-2?trk=share_ent_url&shareId=o8Xx4e97Rs2EHC5wWeM2ZA==
Training30,Question20,1,Working with Difficult People,
Training31,Question20,1,Effective Listening,
Training32,Question20,1,Interpersonal Communication,
Training33,Question21,1,Project Management Foundations,
Training34,Question21,1,Project Management Foundations: Ethics,
Training35,Question21,1,Project Management Foundations: Schedules,
Training36,Question21,1,Project Management Microsoft Project Quick Tips,
Training37,Question21,1,Agile Foundations,
Training38,Question21,1,Agile Project Management with Microsoft Project,
Training39,Question21,1,5 Ways to Control Your Time,
Training40,Question22,1,Critical Thinking,
Training41,Question22,1,Problem Solving Techniques,
Training42,Question22,1,Decision-Making Strategies,
Training43,Question23,1,Change Management Foundations,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/change-management-foundations-10041380?trk=share_ent_url&shareId=m6vjX97JSu%2BwN9waXgC7zg==
Training44,Question23,1,Change Consumer,
Training45,Question24,1,,
Training46,Question1,2,,
Training47,Question2,2,Financial Accounting Part 2,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/finance-foundations-business-valuation?trk=share_ent_url&shareId=4GvMKybsRJ614Cu46kEelg==
Training48,Question3,2,Financial Accounting Part 1,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/financial-accounting-part-1?trk=share_ent_url&shareId=L3z7fhz8SKSndgo17cuOcQ==
Training49,Question3,2,Forecasting Using Financial Statements,https://brambles.myabsorb.com/#/online-courses/26c9510d-13c9-4f8e-9c00-21a7b50915c5
Training50,Question4,2,Accounting Foundations: Making Business Decisions Using IRR and NPV ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-cost-based-pricing-strategies?trk=share_ent_url&shareId=9nW0mFISQ3awDSxNPfTBbw==
Training51,Question4,2,Accounting Foundations: Managerial Accounting ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-managerial-accounting?trk=share_ent_url&shareId=Wwh3Kq%2BYRy%2BXkqo9BQ%2FXKw==
Training52,Question5,2,Accounting Foundations: Budgeting,
Training53,Question5,2,Financial Modelling and Forecasting Financial Statements,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/financial-modeling-and-forecasting-financial-statements?trk=share_ent_url&shareId=pBZURdhTTeaQl4Vvm%2BIpJw==
Training54,Question5,2,Accounting Foundations: Managerial Accounting,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-managerial-accounting?trk=share_ent_url&shareId=Wwh3Kq%2BYRy%2BXkqo9BQ%2FXKw==
Training55,Question5,2,Forecasting Using Financial Statements,https://brambles.myabsorb.com/#/online-courses/26c9510d-13c9-4f8e-9c00-21a7b50915c5
Training56,Question6,2,Accounting Foundations: Making Business Decisions Using IRR and NPV ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-cost-based-pricing-strategies?trk=share_ent_url&shareId=9nW0mFISQ3awDSxNPfTBbw==
Training57,Question6,2,Corporate Finance Foundations ,https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/corporate-finance-foundations?trk=share_ent_url&shareId=l6fkWYsxSlajIggULgsHbw==
Training58,Question9,2,Writing a Business Report,
Training59,Question7,2,,
Training60,Question8,2,,
Training61,Question10,2,,
Training62,Question11,2,,
Training63,Question12,2,,
Training64,Question13,2,,
Training65,Question14,2,Accounting Foundations: Understanding the GAAP (Generally Accepted Accounting Principles),https://www.linkedin.com/learning-login/share?account=89354138&forceAccount=false&redirect=https://www.linkedin.com/learning/accounting-foundations-understanding-the-gaap-generally-accepted-accounting-principles?trk=share_ent_url&shareId=SepQSlEcQwKRx4uku%2F%2BGqA==
Training66,Question15,2,Communicating with Confidence,
Training67,Question16,2,Developing Business Acumen,
Training68,Question16,2,Communicating with Confidence,
Training69,Question17,2,,
Training70,Question18,2,,
Training71,Question19,2,Acting Decisively,
Training72,Question20,2,Customer Service Mastery: Delight Every Customer,
Training73,Question20,2,Delivering Bad News to a Customer,
Training74,Question20,2,Customer Service: Problem Solving and Troubleshooting,
Training75,Question20,2,Developing a Service Mindset,
